Part_ID,Part_Name,Part_Category,Brand,Truck_Model,Price,Stock_Quantity,Supplier,Warehouse_Location,Delivery_Time_Days,Warranty_Period_Months,Order_Date,Monthly_Sales,Revenue,time_index
P0081,295/80R22.5 Tire - Eco,Tires,Knorr-Bremse,Volvo FH,257.57,421,Atlas Parts,Prague,6,6,2024-09-16,445,114618.65,194
P0025,ABS Sensor - Eco,Brakes,Iveco,MAN TGX,1056.33,378,CentralFleet Co,Prague,15,24,2024-09-18,413,436264.29,195
P0138,295/80R22.5 Tire - Heavy-Duty,Tires,Hella,Scania R,577.68,454,BlueLine Logistics,Milan,2,24,2024-09-21,222,128244.96,196
P0108,Catalytic Converter - Eco,Exhaust,MAN,Scania R,1402.77,581,EuroTruck Supply,Hamburg,5,12,2024-09-24,25,35069.25,197
P0079,Separator Filter - Eco,Filters,DAF,Iveco Stralis,129.6,389,BlueLine Logistics,Milan,18,6,2024-09-24,35,4536.0,198
P0035,Fog Light - Premium,Lighting,Scania,Iveco Stralis,548.24,201,BlueLine Logistics,Rotterdam,3,24,2024-09-30,160,87718.4,199
P0078,Exhaust Manifold,Exhaust,Continental,MAN TGX,1439.8,158,EuroTruck Supply,Milan,9,24,2024-09-30,354,509689.2,200
P0071,Hydraulic Filter,Filters,Bosch,Iveco Stralis,146.2,55,PrimeTruck Traders,Lviv,12,36,2024-10-02,226,33041.2,201
P0150,Oil Pump - Heavy-Duty,Engine,Mercedes,DAF XF,1148.6,585,Transline Distributors,Budapest,1,36,2024-10-04,279,320459.4,202
P0011,Air Filter,Filters,MAN,Iveco Stralis,43.19,512,Atlas Parts,Lviv,4,24,2024-10-16,259,11186.21,203
P0185,Starter Motor,Electrical,Volvo,Iveco Stralis,821.75,437,NordicAuto GmbH,Milan,2,24,2024-10-20,343,281860.25,204
P0135,Alternator - Pro,Electrical,Iveco,MAN TGX,359.21,407,NordicAuto GmbH,Milan,9,6,2024-10-24,97,34843.37,205
P0065,Glow Plug,Electrical,Volvo,Iveco Stralis,726.46,202,Transline Distributors,Warsaw,18,12,2024-10-25,76,55210.96,206
P0048,Tire Repair Kit - Standard,Tires,Hella,Renault T,120.2,552,GlobalParts Ltd,Brno,8,6,2024-10-29,20,2404.0,207
P0195,Bushing Kit,Suspension,Brembo,Iveco Stralis,218.0,466,BlueLine Logistics,Hamburg,20,36,2024-11-06,249,54282.0,208
P0051,Hydraulic Cylinder - Eco,Hydraulics,DAF,Iveco Stralis,1464.96,123,GlobalParts Ltd,Brno,18,36,2024-11-08,189,276877.44,209
P0201,Bushing Kit,Suspension,DAF,Mercedes Actros,1116.78,306,Atlas Parts,Budapest,8,36,2024-11-24,459,512602.02,210
P0115,LED Work Light - Pro,Lighting,Hella,Volvo FH,118.33,77,Atlas Parts,Milan,15,36,2024-11-28,473,55970.09,211
P0207,Tire Repair Kit - Standard,Tires,Knorr-Bremse,Renault T,121.99,572,PrimeTruck Traders,Budapest,17,12,2024-12-02,194,23666.06,212
P0064,Radiator - Standard,Cooling,Continental,Iveco Stralis,973.0,237,CentralFleet Co,Gdansk,15,6,2024-12-04,119,115787.0,213
P0066,Glow Plug - HD,Electrical,MANN,Renault T,419.92,582,CentralFleet Co,Milan,4,36,2024-12-06,155,65087.6,214
P0069,Hydraulic Hose Assembly,Hydraulics,Continental,MAN TGX,1278.22,328,EuroTruck Supply,Prague,11,36,2024-12-11,253,323389.66,215
P0039,Brake Drum - Pro,Brakes,MANN,MAN TGX,103.41,74,Continental Supply,Rotterdam,19,12,2024-12-14,196,20268.36,216
P0197,Shift Fork - Premium,Transmission,Michelin,Scania R,2770.08,382,Transline Distributors,Milan,19,12,2024-12-14,115,318559.2,217
P0004,Glow Plug - Standard,Electrical,Michelin,MAN TGX,959.13,565,CentralFleet Co,Budapest,12,12,2024-12-22,35,33569.55,218
P0159,Intercooler,Cooling,Volvo,Scania R,277.25,306,BlueLine Logistics,Lviv,17,36,2024-12-26,288,79848.0,219
